Asset Tag,Model,Serial,Username,Active Directory Last Logon,Success
D07856,Optiplex 7060,9TG08X2,mam02031,2/9/2020 5:51:13 PM,Success
D07857,Optiplex 7060,9TG18X2,pap02008,2/7/2020 1:01:06 PM,Success
D07869,Latitude 5290,DS060X2,mip10006,9/13/2019 11:47:43 AM,Success
D04905,Optiplex 7050,F456CP2,grb02004,10/11/2019 1:27:33 AM,Success
D11111,B2360dn Laser Printer,,,,Success
D04887,Optiplex 7050,F47VMN2,grb02004,10/10/2019 7:01:35 PM,Success
D06191,Optiplex 7050,2Z7J0Q2,grb02004,10/10/2019 6:10:36 PM,Success
D00904,Optiplex 7020,HSKC482,grb02004,1/29/2020 12:45:06 PM,Success
W60645,Latitude E6540,DM2GVZ1,kus16104,2/6/2020 5:38:34 AM,Success
C09972,MacBook Pro A1708,FVFYP415HV29,boc07001,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
Unknown,WorkCentre 7845,9XA372385,,,Success
AfricanAmerican B&W,B2360dn Laser Printer,HHHWSS1,,,Success
George White Building/SoA,B3460dn Laser Printer,GBLRWD2,,,Success
Art-Bishop02,WorkCentre 7845,MX4754804,,,Success
Avery Pt ACD 107 B&W,B5460dn Laser Printer,GQM0522,,,Success
Avery Pt Lib B&W,B5460dn Laser Printer,HWS0522,,,Success
Avery Pt Lib Color,C3760dn Color Laser,9QX5WW1,,,Success
B-School B&W,B5460dn Laser Printer,9YXLQ42,,,Success
B-School Color,Color Laser C3760dn,J976F52,,,Success
Bus Belden 01,B3460dn Laser Printer,,,,Success
Bus Grad 02,S5830dn,,,,Success
Bus Grad 03,S5830dn,,,,Success
Bus Grad 04,S5830dn,,,,Success
W.B Young B&W,B3460dn Laser Printer,56NKSS1,,,Success
"CUE, Rowe Building B&W",B3460dn Laser Printer,2NKRWD2,,,Success
GBLC-BW-4 printer,S5830dn,HTT1R92,,,Success
GBLC-BW-5 printer,S5830dn,JLT1R92,,,Success
Gr Htfd ITC 5130cdn,Dell,,,,Success
Gr Htfd SSW B&W,5130cdn Color Laser,,,,Success
Gr Htfd UGrad Bldg,Dell,,,,Success
Hartford 9DYNMS1 B&W,5130cdn Color Laser,,,,Success
Hartford 9DYNMS1 Color,5130cdn Color Laser,,,,Success
HKPRPT-SSW-G10,S5840cdn,5PY2R92,,,Success
HKPRPT-SSW-G10-BW,B3460dn Laser Printer,FCVLSS1,,,Success
HKPRT-HTB-1b,B3460dn Laser Printer,8QZRWD2,,,Success
HKPRT-HTB-1c,C2660dn Color Laser,2P38F52,,,Success
HKPRT-HTB-2,B3460dn Laser Printer,FPZRWD2,,,Success
HKPRT-HTB-405,B3460dn Laser Printer,CQZRWD2,,,Success
Law School HS,LaserJet 600 M601,,,,Success
Law School KT,LaserJet 600 M601,,,,Success
Law School lab B&W 01,LaserJet M604,,,,Success
Law School lab B&W 02,LaserJet M604,,,,Success
Law School lab Color,Color LaserJet CP4525,,,,Success
Law School Library 03,LaserJet 600 M601,,,,Success
Law School Library 04,LaserJet 600 M601,,,,Success
Law School Library 05,LaserJet M604,,,,Success
law-cilj,LaserJet M604,,,,Success
law-circ,LaserJet M605,,,,Success
law-cjil,LaserJet M604,,,,Success
law-cpilj,LaserJet M604,,,,Success
Library Bookworms B&W,B5460dn Laser Printer,JDS0522,,,Success
Library Cafe 1 Black and White,S5830dn,BXP1R92,,,Success
Library Cafe 2 Black and White,B5460dn Laser Printer,GFCGSS1,,,Success
Library Level B Black and White,B5460dn Laser Printer,JLS0522,,,Success
Library Black and White,B5460dn Laser Printer,7ZBMQ42,,,Success
Nathan Hale B&W,B3460dn Laser Printer,1FSRWD2,,,Success
Pharmacy Lib 2 B&W,B3460dn Laser Printer,H8GKSS1,,,Success
Pharmacy Lib B&W,B3460dn Laser Printer,BRKRWD2,,,Success
Rainbow Center B&W,LaserJet P3010,,,,Success
SFA - Black and White,B5460dn Laser Printer,79CMQ42,,,Success
SFA - Large-format Printer,7130cdn,FB2LBK1,,,Success
Stamford Lib B&W 1,B3460dn Laser Printer,2RKRWD2,,,Success
Stamford Lib B&W 2,B3460dn Laser Printer,J4RRWD2,,,Success
Stamford Lib Color,C2660dn Color Laser,FBJPJY1,,,Success
Student Union B&W,B5460dn Laser Printer,JCS0522,,,Success
Trecker Lib B&W Hartford Public Library,B5460dn Laser Printer,JGS0522,,,Success
Trecker Lib Color Hartford Public Library,C3760dn Color Laser,8QX5WW1,,,Success
Wilbur Cross B&W,Dell,,,,Success
Wilbur Cross B&W 1,B3460dn Laser Printer,92TRWD2,,,Success
Wilbur Cross Color 1,C2660dn Color Laser,DVX7F52,,,Success
Women's Center B&W,Dell B2360,3ZHWSS1,,,Success
Wtby Lab 224 B&W,LaserJet P4014,CNDX228099,,,Success
Wtby Lab 225 B&W,LaserJet P4014,JPDF029149,,,Success
Wtby Lab 317 B&W,LaserJet P4014,JPDF024211,,,Success
Wtby Lib B&W,S5830dn,CPP1R92,,,Success
Wtby Library Color,C3760dn Color Laser,48YTXS1,,,Success
z.Avery Pt ACD 319 B&W,3330dn Laser Printer,,,,Success
Pharos-ITSTest,B5460dn Laser Printer,GNQFSS1,,,Success
Fine Arts,WorkCentre 7845,,,,Success
Fine Arts2,WorkCentre 7845,,,,Success
Pharos-ITSTestMFP,VersaLink B600 DN,,,,Success
C11051,Surface Pro,057727792153,maf02013,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D00274,Optiplex 7020,CCM3942,pap02008,1/29/2020 3:00:56 AM,Success
D00278,Optiplex 7020,CD03942,pap02008,1/28/2020 8:02:59 PM,Success
D00275,Optiplex 7020,CCM5942,pap02008,1/29/2020 3:00:22 AM,Success
W62247,Latitude E6440,BBM7F12,vig11002,2/5/2020 4:15:04 PM,Success
D00823,Optiplex 7020,2NN8382,sks10008,1/27/2020 7:50:54 PM,Success
C11434,Latitude 7212,JQRFTG2,vms19001,2/6/2020 2:51:02 PM,Success
C11435,Latitude 7212,BQRFTG2,jah04007,7/31/2019 3:36:21 PM,Success
C11436,Latitude 7212,FQRFTG2,jah04007,2/4/2020 12:37:34 PM,Success
D00923,Optiplex 7020,6VVY482,clg07007,11/6/2019 11:31:59 AM,Success
D00383,Optiplex 7020,FWDJR52,mar05011,1/29/2020 11:43:15 AM,Success
W58304,Optiplex 9010,CYZFSW1,sar11012,1/23/2020 3:42:56 PM,Success
D07893,Latitude 7490,2DD11X2,mar10016,2/10/2020 1:48:56 AM,Success
D05867,Optiplex 7060,GTM6GQ2,elh10004,2/9/2020 1:29:21 AM,Success
D05952,Optiplex 7060,GTQ5GQ2,elh10004,2/9/2020 4:22:05 AM,Success
C09691,Precision 3530,49GPVT2,,2/11/2020 12:54:23 AM,Success
C05641,"Macbook Air A1465 (11"")",C02T1048GFWM,clg07007,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C09976,Optiplex 7010,1MHJCX1,jeb09025,1/21/2020 4:43:34 PM,Success
C10988,MacBook Pro A1708,FVFYF1JJHV22,slr02009,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
